Time (Hour),Total Power (kW),Critical Power (kW),Remaining Power (kW)
0,0.4871612,0.25,0.2371612
1,0.4324869,0.25,0.1824869
2,0.4047329,0.25,0.1547329
3,0.3876472,0.25,0.1376472
4,0.3903058,0.25,0.1403058
5,0.4152719,0.25,0.1652719
6,0.453068,0.25,0.203068
7,0.4823769,0.25,0.2323769
8,0.4637988,0.25,0.2137988
9,0.4786978,0.25,0.2286978
10,0.5046721,0.25,0.2546721
11,0.5463488,0.25,0.2963488
12,0.5972889,0.25,0.3472889
13,0.6493162,0.25,0.3993162
14,0.7128658,0.25,0.4628658
15,0.8106746,0.25,0.5606746
16,0.8899262,0.25,0.6399262
17,0.9225079,0.25,0.6725079
18,0.9088195,0.25,0.6588195
19,0.9037126,0.25,0.6537126
20,0.8731857,0.25,0.6231857
21,0.7869077,0.25,0.5369077
22,0.6695568,0.25,0.4195568
23,0.5554603,0.25,0.3054603
24,0.4871612,0.25,0.2371612
25,0.4324869,0.25,0.1824869
26,0.4047329,0.25,0.1547329
27,0.3876472,0.25,0.1376472
28,0.3903058,0.25,0.1403058
29,0.4152719,0.25,0.1652719
30,0.453068,0.25,0.203068
31,0.4823769,0.25,0.2323769
32,0.4637988,0.25,0.2137988
33,0.4786978,0.25,0.2286978
34,0.5046721,0.25,0.2546721
35,0.5463488,0.25,0.2963488
36,0.5972889,0.25,0.3472889
37,0.6493162,0.25,0.3993162
38,0.7128658,0.25,0.4628658
39,0.8106746,0.25,0.5606746
40,0.8899262,0.25,0.6399262
41,0.9225079,0.25,0.6725079
42,0.9088195,0.25,0.6588195
43,0.9037126,0.25,0.6537126
44,0.8731857,0.25,0.6231857
45,0.7869077,0.25,0.5369077
46,0.6695568,0.25,0.4195568
47,0.5554603,0.25,0.3054603
48,0.4871612,0.25,0.2371612
49,0.4324869,0.25,0.1824869
50,0.4047329,0.25,0.1547329
51,0.3876472,0.25,0.1376472
52,0.3903058,0.25,0.1403058
53,0.4152719,0.25,0.1652719
54,0.453068,0.25,0.203068
55,0.4823769,0.25,0.2323769
56,0.4637988,0.25,0.2137988
57,0.4786978,0.25,0.2286978
58,0.5046721,0.25,0.2546721
59,0.5463488,0.25,0.2963488
60,0.5972889,0.25,0.3472889
61,0.6493162,0.25,0.3993162
62,0.7128658,0.25,0.4628658
63,0.8106746,0.25,0.5606746
64,0.8899262,0.25,0.6399262
65,0.9225079,0.25,0.6725079
66,0.9088195,0.25,0.6588195
67,0.9037126,0.25,0.6537126
68,0.8731857,0.25,0.6231857
69,0.7869077,0.25,0.5369077
70,0.6695568,0.25,0.4195568
71,0.5554603,0.25,0.3054603
72,0.4871612,0.25,0.2371612
73,0.4324869,0.25,0.1824869
74,0.4047329,0.25,0.1547329
75,0.3876472,0.25,0.1376472
76,0.3903058,0.25,0.1403058
77,0.4152719,0.25,0.1652719
78,0.453068,0.25,0.203068
79,0.4823769,0.25,0.2323769
80,0.4637988,0.25,0.2137988
81,0.4786978,0.25,0.2286978
82,0.5046721,0.25,0.2546721
83,0.5463488,0.25,0.2963488
84,0.5972889,0.25,0.3472889
85,0.6493162,0.25,0.3993162
86,0.7128658,0.25,0.4628658
87,0.8106746,0.25,0.5606746
88,0.8899262,0.25,0.6399262
89,0.9225079,0.25,0.6725079
90,0.9088195,0.25,0.6588195
91,0.9037126,0.25,0.6537126
92,0.8731857,0.25,0.6231857
93,0.7869077,0.25,0.5369077
94,0.6695568,0.25,0.4195568
95,0.5554603,0.25,0.3054603
96,0.4871612,0.25,0.2371612
97,0.4324869,0.25,0.1824869
98,0.4047329,0.25,0.1547329
99,0.3876472,0.25,0.1376472
100,0.3903058,0.25,0.1403058
101,0.4152719,0.25,0.1652719
102,0.453068,0.25,0.203068
103,0.4823769,0.25,0.2323769
104,0.4637988,0.25,0.2137988
105,0.4786978,0.25,0.2286978
106,0.5046721,0.25,0.2546721
107,0.5463488,0.25,0.2963488
108,0.5972889,0.25,0.3472889
109,0.6493162,0.25,0.3993162
110,0.7128658,0.25,0.4628658
111,0.8106746,0.25,0.5606746
112,0.8899262,0.25,0.6399262
113,0.9225079,0.25,0.6725079
114,0.9088195,0.25,0.6588195
115,0.9037126,0.25,0.6537126
116,0.8731857,0.25,0.6231857
117,0.7869077,0.25,0.5369077
118,0.6695568,0.25,0.4195568
119,0.5554603,0.25,0.3054603
120,0.4871612,0.25,0.2371612
121,0.4324869,0.25,0.1824869
122,0.4047329,0.25,0.1547329
123,0.3876472,0.25,0.1376472
124,0.3903058,0.25,0.1403058
125,0.4152719,0.25,0.1652719
126,0.453068,0.25,0.203068
127,0.4823769,0.25,0.2323769
128,0.4637988,0.25,0.2137988
129,0.4786978,0.25,0.2286978
130,0.5046721,0.25,0.2546721
131,0.5463488,0.25,0.2963488
132,0.5972889,0.25,0.3472889
133,0.6493162,0.25,0.3993162
134,0.7128658,0.25,0.4628658
135,0.8106746,0.25,0.5606746
136,0.8899262,0.25,0.6399262
137,0.9225079,0.25,0.6725079
138,0.9088195,0.25,0.6588195
139,0.9037126,0.25,0.6537126
140,0.8731857,0.25,0.6231857
141,0.7869077,0.25,0.5369077
142,0.6695568,0.25,0.4195568
143,0.5554603,0.25,0.3054603
144,0.4871612,0.25,0.2371612
145,0.4324869,0.25,0.1824869
146,0.4047329,0.25,0.1547329
147,0.3876472,0.25,0.1376472
148,0.3903058,0.25,0.1403058
149,0.4152719,0.25,0.1652719
150,0.453068,0.25,0.203068
151,0.4823769,0.25,0.2323769
152,0.4637988,0.25,0.2137988
153,0.4786978,0.25,0.2286978
154,0.5046721,0.25,0.2546721
155,0.5463488,0.25,0.2963488
156,0.5972889,0.25,0.3472889
157,0.6493162,0.25,0.3993162
158,0.7128658,0.25,0.4628658
159,0.8106746,0.25,0.5606746
160,0.8899262,0.25,0.6399262
161,0.9225079,0.25,0.6725079
162,0.9088195,0.25,0.6588195
163,0.9037126,0.25,0.6537126
164,0.8731857,0.25,0.6231857
165,0.7869077,0.25,0.5369077
166,0.6695568,0.25,0.4195568
167,0.5554603,0.25,0.3054603
168,0.4871612,0.25,0.2371612
169,0.4324869,0.25,0.1824869
170,0.4047329,0.25,0.1547329
171,0.3876472,0.25,0.1376472
172,0.3903058,0.25,0.1403058
173,0.4152719,0.25,0.1652719
174,0.453068,0.25,0.203068
175,0.4823769,0.25,0.2323769
176,0.4637988,0.25,0.2137988
177,0.4786978,0.25,0.2286978
178,0.5046721,0.25,0.2546721
179,0.5463488,0.25,0.2963488
180,0.5972889,0.25,0.3472889
181,0.6493162,0.25,0.3993162
182,0.7128658,0.25,0.4628658
183,0.8106746,0.25,0.5606746
184,0.8899262,0.25,0.6399262
185,0.9225079,0.25,0.6725079
186,0.9088195,0.25,0.6588195
187,0.9037126,0.25,0.6537126
188,0.8731857,0.25,0.6231857
189,0.7869077,0.25,0.5369077
190,0.6695568,0.25,0.4195568
191,0.5554603,0.25,0.3054603
192,0.4871612,0.25,0.2371612
193,0.4324869,0.25,0.1824869
194,0.4047329,0.25,0.1547329
195,0.3876472,0.25,0.1376472
196,0.3903058,0.25,0.1403058
197,0.4152719,0.25,0.1652719
198,0.453068,0.25,0.203068
199,0.4823769,0.25,0.2323769
200,0.4637988,0.25,0.2137988
201,0.4786978,0.25,0.2286978
202,0.5046721,0.25,0.2546721
203,0.5463488,0.25,0.2963488
204,0.5972889,0.25,0.3472889
205,0.6493162,0.25,0.3993162
206,0.7128658,0.25,0.4628658
207,0.8106746,0.25,0.5606746
208,0.8899262,0.25,0.6399262
209,0.9225079,0.25,0.6725079
210,0.9088195,0.25,0.6588195
211,0.9037126,0.25,0.6537126
212,0.8731857,0.25,0.6231857
213,0.7869077,0.25,0.5369077
214,0.6695568,0.25,0.4195568
215,0.5554603,0.25,0.3054603
216,0.4871612,0.25,0.2371612
217,0.4324869,0.25,0.1824869
218,0.4047329,0.25,0.1547329
219,0.3876472,0.25,0.1376472
220,0.3903058,0.25,0.1403058
221,0.4152719,0.25,0.1652719
222,0.453068,0.25,0.203068
223,0.4823769,0.25,0.2323769
224,0.4637988,0.25,0.2137988
225,0.4786978,0.25,0.2286978
226,0.5046721,0.25,0.2546721
227,0.5463488,0.25,0.2963488
228,0.5972889,0.25,0.3472889
229,0.6493162,0.25,0.3993162
230,0.7128658,0.25,0.4628658
231,0.8106746,0.25,0.5606746
232,0.8899262,0.25,0.6399262
233,0.9225079,0.25,0.6725079
234,0.9088195,0.25,0.6588195
235,0.9037126,0.25,0.6537126
236,0.8731857,0.25,0.6231857
237,0.7869077,0.25,0.5369077
238,0.6695568,0.25,0.4195568
239,0.5554603,0.25,0.3054603